Name,Country,Date,IsPaidTimeOff
New Year's Day,United States,1/1/1970,TRUE
Groundhog Day,United States,2/2/1970,FALSE
Valentine's Day,United States,2/14/1970,FALSE
Presidents' Day,United States,2/22/1970,TRUE
St. Patrick's Day,United States,3/17/1970,FALSE
Memorial Day,United States,5/30/1970,TRUE
Independence Day,United States,7/4/1970,FALSE
Labor Day,United States,9/7/1970,TRUE
Columbus Day,United States,10/12/1970,FALSE
Halloween,United States,10/31/1970,FALSE
Veteran's Day,United States,11/11/1970,FALSE
Thanksgiving Day,United States,11/26/1970,TRUE
Christmas Day,United States,12/25/1970,TRUE
New Year's Day,United States,1/1/1971,FALSE
Groundhog Day,United States,2/2/1971,FALSE
Valentine's Day,United States,2/14/1971,FALSE
Presidents' Day,United States,2/15/1971,TRUE
St. Patrick's Day,United States,3/17/1971,FALSE
Memorial Day,United States,5/31/1971,TRUE
Independence Day,United States,7/4/1971,FALSE
Labor Day,United States,9/6/1971,TRUE
Columbus Day,United States,10/11/1971,FALSE
Veteran's Day,United States,10/25/1971,FALSE
Halloween,United States,10/31/1971,FALSE
Veteran's Day,United States,11/11/1971,FALSE
Thanksgiving Day,United States,11/25/1971,TRUE
Christmas Day,United States,12/25/1971,TRUE
New Year's Day,United States,1/1/1972,TRUE
Groundhog Day,United States,2/2/1972,FALSE
Valentine's Day,United States,2/14/1972,FALSE
Presidents' Day,United States,2/21/1972,TRUE
St. Patrick's Day,United States,3/17/1972,FALSE
Memorial Day,United States,5/29/1972,TRUE
Independence Day,United States,7/4/1972,TRUE
Labor Day,United States,9/4/1972,TRUE
Columbus Day,United States,10/9/1972,FALSE
Veteran's Day,United States,10/23/1972,FALSE
Halloween,United States,10/31/1972,FALSE
Veteran's Day,United States,11/11/1972,FALSE
Thanksgiving Day,United States,11/23/1972,TRUE
Christmas Day,United States,12/25/1972,TRUE
New Year's Day,United States,1/1/1973,TRUE
Groundhog Day,United States,2/2/1973,FALSE
Valentine's Day,United States,2/14/1973,FALSE
Presidents' Day,United States,2/19/1973,TRUE
St. Patrick's Day,United States,3/17/1973,FALSE
Memorial Day,United States,5/28/1973,TRUE
Independence Day,United States,7/4/1973,TRUE
Labor Day,United States,9/3/1973,TRUE
Columbus Day,United States,10/8/1973,FALSE
Veteran's Day,United States,10/22/1973,FALSE
Halloween,United States,10/31/1973,FALSE
Veteran's Day,United States,11/11/1973,FALSE
Thanksgiving Day,United States,11/22/1973,TRUE
Christmas Day,United States,12/25/1973,TRUE
New Year's Day,United States,1/1/1974,TRUE
Groundhog Day,United States,2/2/1974,FALSE
Valentine's Day,United States,2/14/1974,FALSE
Presidents' Day,United States,2/18/1974,TRUE
St. Patrick's Day,United States,3/17/1974,FALSE
Memorial Day,United States,5/27/1974,TRUE
Independence Day,United States,7/4/1974,TRUE
Labor Day,United States,9/2/1974,TRUE
Columbus Day,United States,10/14/1974,FALSE
Veteran's Day,United States,10/28/1974,FALSE
Halloween,United States,10/31/1974,FALSE
Veteran's Day,United States,11/11/1974,FALSE
Thanksgiving Day,United States,11/28/1974,TRUE
Christmas Day,United States,12/25/1974,TRUE
New Year's Day,United States,1/1/1975,TRUE
Groundhog Day,United States,2/2/1975,FALSE
Valentine's Day,United States,2/14/1975,FALSE
Presidents' Day,United States,2/17/1975,TRUE
St. Patrick's Day,United States,3/17/1975,FALSE
Memorial Day,United States,5/26/1975,TRUE
Independence Day,United States,7/4/1975,TRUE
Labor Day,United States,9/1/1975,TRUE
Columbus Day,United States,10/13/1975,FALSE
Veteran's Day,United States,10/27/1975,FALSE
Halloween,United States,10/31/1975,FALSE
Veteran's Day,United States,11/11/1975,FALSE
Thanksgiving Day,United States,11/27/1975,TRUE
Christmas Day,United States,12/25/1975,TRUE
New Year's Day,United States,1/1/1976,TRUE
Groundhog Day,United States,2/2/1976,FALSE
Valentine's Day,United States,2/14/1976,FALSE
Presidents' Day,United States,2/16/1976,TRUE
St. Patrick's Day,United States,3/17/1976,FALSE
Memorial Day,United States,5/31/1976,TRUE
Independence Day,United States,7/4/1976,FALSE
Labor Day,United States,9/6/1976,TRUE
Columbus Day,United States,10/11/1976,FALSE
Veteran's Day,United States,10/25/1976,FALSE
Halloween,United States,10/31/1976,FALSE
Veteran's Day,United States,11/11/1976,FALSE
Thanksgiving Day,United States,11/25/1976,TRUE
Christmas Day,United States,12/25/1976,TRUE
New Year's Day,United States,1/1/1977,FALSE
Groundhog Day,United States,2/2/1977,FALSE
Valentine's Day,United States,2/14/1977,FALSE
Presidents' Day,United States,2/21/1977,TRUE
St. Patrick's Day,United States,3/17/1977,FALSE
Memorial Day,United States,5/30/1977,TRUE
Independence Day,United States,7/4/1977,TRUE
Labor Day,United States,9/5/1977,TRUE
Columbus Day,United States,10/10/1977,FALSE
Veteran's Day,United States,10/24/1977,FALSE
Halloween,United States,10/31/1977,FALSE
Veteran's Day,United States,11/11/1977,FALSE
Thanksgiving Day,United States,11/24/1977,TRUE
Christmas Day,United States,12/25/1977,FALSE
